variable,reference_variable,lag_hours,dataset,entity_id,sensor_name,sensor_lat,sensor_lon,traffic_association_count,traffic_association_mode,traffic_association_max_distance_m,traffic_association_ids,dominant_pattern,significant_moments_pct,significant_moments,HH_moments,LL_moments,HL_moments,LH_moments,observed_moments_pct,insufficient_moments_pct,missing_moments,mean_local_moran_i,mean_p_value,variable_signal_pct,map_color
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,4,radius,180.9,anprFlowObserved:14|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,HH,9.91,211,190,1,2,18,98.61,18.2,30,0.2112,0.3999,2.04,#b91c1c
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,4,radius,180.9,anprFlowObserved:14|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,HH,9.58,204,180,0,2,22,98.61,18.2,30,0.2076,0.3977,2.05,#b91c1c
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,4,radius,180.9,anprFlowObserved:14|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,HH,9.49,202,180,1,2,19,98.61,18.2,30,0.2074,0.3997,2.03,#b91c1c
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,4,radius,180.9,anprFlowObserved:14|anprFlowObserved:13|anprFlowObserved:16|anprFlowObserved:2,HH,9.39,200,177,2,1,20,98.61,18.16,30,0.2103,0.4012,1.9,#b91c1c
NO2,coches_total,2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,3,radius,202.0,anprFlowObserved:15|anprFlowObserved:4|anprFlowObserved:3,LH,7.87,170,3,4,0,163,100.0,18.3,0,0.0159,0.5844,2.03,#7c3aed
NO2,coches_total,3,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,3,radius,202.0,anprFlowObserved:15|anprFlowObserved:4|anprFlowObserved:3,LH,7.87,170,1,6,0,163,100.0,18.34,0,0.0096,0.5839,2.04,#7c3aed
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,3,radius,202.0,anprFlowObserved:15|anprFlowObserved:4|anprFlowObserved:3,LH,7.83,169,3,1,0,165,100.0,18.25,0,0.0207,0.5827,2.05,#7c3aed
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,3,radius,202.0,anprFlowObserved:15|anprFlowObserved:4|anprFlowObserved:3,LH,7.46,161,4,2,0,155,100.0,18.16,0,0.0217,0.5832,1.9,#7c3aed
NO2,coches_total,0,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,2,radius,256.9,anprFlowObserved:7|anprFlowObserved:8,LL,5.73,122,0,119,2,1,98.61,31.59,30,0.4048,0.2822,1.9,#1d4ed8
NO2,coches_total,1,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,3,radius,254.5,anprFlowObserved:10|anprFlowObserved:9|anprFlowObserved:11,LL,5.47,118,0,112,0,6,100.0,19.31,0,0.775,0.3767,2.05,#1d4ed8
