variable,dataset,entity_id,sensor_name,sensor_lat,sensor_lon,dominant_pattern,significant_moments_pct,significant_moments,HH_moments,LL_moments,HL_moments,LH_moments,observed_moments_pct,insufficient_moments_pct,missing_moments,mean_local_moran_i,mean_p_value,variable_signal_pct,map_color
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0df2,Aquatec - Plaza de España,37.605122,-0.991117,LH,58.68,1295,0,0,0,1295,85.64,2.45,317,-1.4604,0.0849,7.15,#7c3aed
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c01f2,Aquatec - C/ San Juan,37.605112,-0.985913,LH,16.13,356,0,0,0,356,61.21,1.36,856,-1.0558,0.2345,7.15,#7c3aed
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2386,Aquatec - C/ Salitre,37.604937216,-0.988018993,HL,13.09,289,0,0,289,0,87.22,0.0,282,-0.6221,0.3567,7.15,#ea580c
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e68679c5b2,Aquatec - C/ Juan de la Cosa,37.6077778,-0.981388889,LH,5.57,123,2,0,0,121,84.55,2.45,341,-0.6126,0.3575,7.15,#7c3aed
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,HL,5.35,118,0,0,118,0,97.46,0.0,56,-0.2772,0.5662,7.15,#ea580c
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,LH,4.26,94,0,1,0,93,97.46,0.0,56,-0.3456,0.5728,7.15,#7c3aed
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,HL,2.67,59,1,0,58,0,97.46,12.46,56,-0.6482,0.3434,7.15,#ea580c
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867bf326,Aquatec - C/ Ramón y Cajal,37.608898092,-0.990987387,HL,1.13,25,0,0,25,0,97.51,0.0,55,-0.2544,0.4548,7.15,#ea580c
NO2,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2d5cb4a,"AQN6 - C. Jiménez de la Espada, 43",37.607955,-0.985688,LH,0.18,4,0,0,0,4,10.19,0.0,1982,-0.2453,0.5131,7.15,#7c3aed
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1532,Aquatec - C/Angel Bruna,37.608654022,-0.985216022,HL,0.14,3,0,0,3,0,96.19,0.0,84,-0.0699,0.6068,7.15,#ea580c
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867aa682,Aquatec - C/ Pintor Balaca,37.609571,-0.987615,no_signal,0.0,0,0,0,0,0,97.64,0.18,52,0.141,0.7241,7.15,#64748b
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0966,Aquatec - C/ Juan Fernández,37.608095402,-0.987760799,no_signal,0.0,0,0,0,0,0,97.37,0.0,58,0.0383,0.7567,7.15,#64748b
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c200a,Aquatec - Plaza Lopez Pinto,37.604565,-0.985117,no_signal,0.0,0,0,0,0,0,0.14,0.0,2204,-0.0574,0.5,7.15,#64748b
NO2,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c249e,Aquatec - C/ Jimenez de la Espada,37.60783,-0.99,no_signal,0.0,0,0,0,0,0,0.0,0.0,2207,,,7.15,#64748b
NO2,air_quality,urn:ngsi:AirQualityObserved:HOPac67b2cd1c9e,AQ2 - San Francisco,37.6019439,-0.983765,no_signal,0.0,0,0,0,0,0,7.02,0.0,2052,0.0713,0.7329,7.15,#64748b
PM10,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2186,Aquatec - C/ Carlos III,37.60592,-0.98264,LL,9.56,211,0,155,3,53,99.91,0.0,2,0.3382,0.2891,2.25,#1d4ed8
PM10,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c0a5a,Aquatec - Calle Real,37.60372,-0.990846,HH,6.3,139,97,0,39,3,100.0,0.0,0,0.1424,0.4616,2.25,#b91c1c
PM10,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c2386,Aquatec - C/ Salitre,37.604937216,-0.988018993,HH,3.58,79,60,0,10,9,92.52,0.0,165,0.1746,0.422,2.25,#b91c1c
PM10,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c1842,Aquatec - Plaza del Rey,37.6,-0.988055556,HH,3.35,74,53,0,0,21,99.95,0.0,1,0.188,0.4322,2.25,#b91c1c
PM10,air_quality,urn:ngsi:AirQualityObserved:HOP94e6867c200a,Aquatec - Plaza Lopez Pinto,37.604565,-0.985117,HL,3.13,69,1,2,64,2,36.84,0.0,1394,-0.232,0.4937,2.25,#ea580c
